country,origin,year,month,ym,number,dum
Germany,Iraq,2015,1,2015-01,1042,-0
Germany,Italy,2015,1,2015-01,1,-0
Germany,Jordan,2015,1,2015-01,15,-0
Germany,Kazakhstan,2015,1,2015-01,6,-0
Germany,Kenya,2015,1,2015-01,12,-0
Germany,Kyrgyzstan,2015,1,2015-01,17,-0
Germany,Lebanon,2015,1,2015-01,60,-0
Germany,Lesotho,2015,1,2015-01,1,-0
Germany,Liberia,2015,1,2015-01,2,-0
Germany,Libya,2015,1,2015-01,93,-0
Germany,Mali,2015,1,2015-01,46,-0
Germany,Mauritania,2015,1,2015-01,11,-0
Germany,Mongolia,2015,1,2015-01,70,-0
Germany,Montenegro,2015,1,2015-01,90,-0
Germany,Morocco,2015,1,2015-01,148,-0
Germany,Myanmar,2015,1,2015-01,3,-0
Germany,Niger,2015,1,2015-01,5,-0
Germany,Nigeria,2015,1,2015-01,477,-0
Germany,Pakistan,2015,1,2015-01,424,-0
Germany,Paraguay,2015,1,2015-01,1,-0
Germany,Philippines,2015,1,2015-01,1,-0
Germany,Rep. of Moldova,2015,1,2015-01,46,-0
Germany,Romania,2015,1,2015-01,1,-0
Germany,Russian Federation,2015,1,2015-01,412,-0
Germany,Rwanda,2015,1,2015-01,6,-0
Germany,Saudi Arabia,2015,1,2015-01,1,-0
Germany,Senegal,2015,1,2015-01,155,-0
Germany,Serbia and Kosovo: S/RES/1244 (1999),2015,1,2015-01,5115,-0
Germany,Sierra Leone,2015,1,2015-01,31,-0
Germany,Somalia,2015,1,2015-01,391,-0
Germany,South Sudan,2015,1,2015-01,2,-0
Germany,Sri Lanka,2015,1,2015-01,43,-0
Germany,Stateless,2015,1,2015-01,261,-0
Germany,Sudan,2015,1,2015-01,34,-0
Germany,Syrian Arab Rep.,2015,1,2015-01,5973,-0
Germany,Tajikistan,2015,1,2015-01,27,-0
Germany,The former Yugoslav Rep. of Macedonia,2015,1,2015-01,562,-0
Germany,Togo,2015,1,2015-01,19,-0
Germany,Trinidad and Tobago,2015,1,2015-01,1,-0
Germany,Tunisia,2015,1,2015-01,68,-0
Germany,Turkey,2015,1,2015-01,177,-0
Germany,Turkmenistan,2015,1,2015-01,33,-0
Germany,Uganda,2015,1,2015-01,11,-0
Germany,Ukraine,2015,1,2015-01,262,-0
Germany,United Rep. of Tanzania,2015,1,2015-01,5,-0
Germany,Various/unknown,2015,1,2015-01,708,-0
Germany,Venezuela (Bolivarian Republic of),2015,1,2015-01,1,-0
Germany,Viet Nam,2015,1,2015-01,67,-0
Germany,Yemen,2015,1,2015-01,13,-0
Germany,Afghanistan,2016,1,2016-01,6773,-0
Germany,Albania,2016,1,2016-01,1390,-0
Germany,Algeria,2016,1,2016-01,174,-0
Germany,Angola,2016,1,2016-01,4,-0
Germany,Armenia,2016,1,2016-01,156,-0
Germany,Azerbaijan,2016,1,2016-01,83,-0
Germany,Bahrain,2016,1,2016-01,1,-0
Germany,Bangladesh,2016,1,2016-01,63,-0
Germany,Belarus,2016,1,2016-01,17,-0
Germany,Benin,2016,1,2016-01,21,-0
Germany,Bhutan,2016,1,2016-01,1,-0
Germany,Bosnia and Herzegovina,2016,1,2016-01,223,-0
Germany,Burkina Faso,2016,1,2016-01,9,-0
Germany,Cabo Verde,2016,1,2016-01,1,-0
Germany,Cameroon,2016,1,2016-01,35,-0
Germany,Central African Rep.,2016,1,2016-01,4,-0
Germany,Chad,2016,1,2016-01,7,-0
Germany,China,2016,1,2016-01,32,-0
Germany,Congo,2016,1,2016-01,4,-0
Germany,Cuba,2016,1,2016-01,3,-0
Germany,Côte d'Ivoire,2016,1,2016-01,46,-0
Germany,Dem. People's Rep. of Korea,2016,1,2016-01,2,-0
Germany,Dem. Rep. of the Congo,2016,1,2016-01,5,-0
Germany,Djibouti,2016,1,2016-01,1,-0
Germany,Egypt,2016,1,2016-01,69,-0
Germany,Eritrea,2016,1,2016-01,809,-0
Germany,Ethiopia,2016,1,2016-01,135,-0
Germany,Gambia,2016,1,2016-01,152,-0
Germany,Georgia,2016,1,2016-01,170,-0
Germany,Ghana,2016,1,2016-01,61,-0
Germany,Greece,2016,1,2016-01,1,-0
Germany,Guinea,2016,1,2016-01,71,-0
Germany,Guinea-Bissau,2016,1,2016-01,10,-0
Germany,Hungary,2016,1,2016-01,1,-0
Germany,India,2016,1,2016-01,134,-0
Germany,Iran (Islamic Rep. of),2016,1,2016-01,1175,-0
Germany,Iraq,2016,1,2016-01,7258,-0
Germany,Jordan,2016,1,2016-01,22,-0
Germany,Kazakhstan,2016,1,2016-01,1,-0
Germany,Kenya,2016,1,2016-01,3,-0
Germany,Kyrgyzstan,2016,1,2016-01,3,-0
Germany,Lebanon,2016,1,2016-01,359,-0
Germany,Liberia,2016,1,2016-01,3,-0
Germany,Libya,2016,1,2016-01,74,-0
Germany,Mali,2016,1,2016-01,19,-0
Germany,Mauritania,2016,1,2016-01,12,-0
Germany,Mongolia,2016,1,2016-01,12,-0
Germany,Montenegro,2016,1,2016-01,136,-0
Germany,Morocco,2016,1,2016-01,263,-0
Germany,Mozambique,2016,1,2016-01,4,-0
Germany,Myanmar,2016,1,2016-01,3,-0
Germany,Nepal,2016,1,2016-01,1,-0
Germany,Niger,2016,1,2016-01,4,-0
Germany,Nigeria,2016,1,2016-01,177,-0
Germany,Pakistan,2016,1,2016-01,786,-0
Germany,Rep. of Korea,2016,1,2016-01,1,-0
Germany,Rep. of Moldova,2016,1,2016-01,220,-0
Germany,Russian Federation,2016,1,2016-01,296,-0
Germany,Rwanda,2016,1,2016-01,8,-0
Germany,Saudi Arabia,2016,1,2016-01,1,-0
Germany,Senegal,2016,1,2016-01,24,-0
Germany,Serbia and Kosovo: S/RES/1244 (1999),2016,1,2016-01,1078,-0
Germany,Sierra Leone,2016,1,2016-01,4,-0
Germany,Somalia,2016,1,2016-01,264,-0
Germany,South Sudan,2016,1,2016-01,5,-0
Germany,Sri Lanka,2016,1,2016-01,13,-0
Germany,Stateless,2016,1,2016-01,560,-0
Germany,Sudan,2016,1,2016-01,102,-0
Germany,Syrian Arab Rep.,2016,1,2016-01,30261,-0
Germany,Tajikistan,2016,1,2016-01,12,-0
Germany,The former Yugoslav Rep. of Macedonia,2016,1,2016-01,314,-0
Germany,Togo,2016,1,2016-01,11,-0
Germany,Tunisia,2016,1,2016-01,42,-0
Germany,Turkey,2016,1,2016-01,120,-0
Germany,Turkmenistan,2016,1,2016-01,14,-0
Germany,Uganda,2016,1,2016-01,3,-0
Germany,Ukraine,2016,1,2016-01,226,-0
Germany,United Arab Emirates,2016,1,2016-01,1,-0
Germany,United Rep. of Tanzania,2016,1,2016-01,1,-0
Germany,Uzbekistan,2016,1,2016-01,1,-0
Germany,Various/unknown,2016,1,2016-01,2567,-0
Germany,Venezuela (Bolivarian Republic of),2016,1,2016-01,2,-0
Germany,Viet Nam,2016,1,2016-01,36,-0
Germany,Yemen,2016,1,2016-01,47,-0
Germany,Afghanistan,2017,1,2017-01,1442,-0
Germany,Albania,2017,1,2017-01,327,-0
Germany,Algeria,2017,1,2017-01,218,-0
Germany,Angola,2017,1,2017-01,42,-0
Germany,Armenia,2017,1,2017-01,602,-0
Germany,Azerbaijan,2017,1,2017-01,474,-0
Germany,Bangladesh,2017,1,2017-01,34,-0
Germany,Belarus,2017,1,2017-01,24,-0
Germany,Benin,2017,1,2017-01,22,-0
Germany,Bosnia and Herzegovina,2017,1,2017-01,68,-0
Germany,Burkina Faso,2017,1,2017-01,33,-0
Germany,Cameroon,2017,1,2017-01,127,-0
Germany,Chad,2017,1,2017-01,9,-0
Germany,China,2017,1,2017-01,64,-0
Germany,Cuba,2017,1,2017-01,10,-0
Germany,Côte d'Ivoire,2017,1,2017-01,171,-0
Germany,Dem. Rep. of the Congo,2017,1,2017-01,21,-0
Germany,Egypt,2017,1,2017-01,64,-0
Germany,Eritrea,2017,1,2017-01,958,-0
Germany,Ethiopia,2017,1,2017-01,177,-0
Germany,Gambia,2017,1,2017-01,341,-0
Germany,Georgia,2017,1,2017-01,187,-0
Germany,Ghana,2017,1,2017-01,76,-0
Germany,Guinea,2017,1,2017-01,410,-0
Germany,Guinea-Bissau,2017,1,2017-01,25,-0
Germany,India,2017,1,2017-01,143,-0
Germany,Iran (Islamic Rep. of),2017,1,2017-01,888,-0
Germany,Iraq,2017,1,2017-01,1245,-0
Germany,Jamaica,2017,1,2017-01,6,-0
Germany,Jordan,2017,1,2017-01,11,-0
Germany,Kazakhstan,2017,1,2017-01,14,-0
Germany,Kenya,2017,1,2017-01,19,-0
Germany,Kyrgyzstan,2017,1,2017-01,7,-0
Germany,Lebanon,2017,1,2017-01,126,-0
Germany,Liberia,2017,1,2017-01,27,-0
Germany,Libya,2017,1,2017-01,101,-0
Germany,Mali,2017,1,2017-01,68,-0
Germany,Mauritania,2017,1,2017-01,7,-0
Germany,Mongolia,2017,1,2017-01,32,-0
Germany,Montenegro,2017,1,2017-01,31,-0
Germany,Morocco,2017,1,2017-01,178,-0
Germany,Myanmar,2017,1,2017-01,8,-0
Germany,Nepal,2017,1,2017-01,7,-0
Germany,Niger,2017,1,2017-01,17,-0
Germany,Nigeria,2017,1,2017-01,674,-0
Germany,Pakistan,2017,1,2017-01,331,-0
Germany,Rep. of Moldova,2017,1,2017-01,235,-0
Germany,Russian Federation,2017,1,2017-01,396,-0
Germany,Senegal,2017,1,2017-01,28,-0
Germany,Serbia and Kosovo: S/RES/1244 (1999),2017,1,2017-01,314,-0
Germany,Sierra Leone,2017,1,2017-01,147,-0
Germany,Somalia,2017,1,2017-01,584,-0
Germany,South Sudan,2017,1,2017-01,6,-0
Germany,Sri Lanka,2017,1,2017-01,55,-0
Germany,Stateless,2017,1,2017-01,101,-0
Germany,Sudan,2017,1,2017-01,67,-0
Germany,Syrian Arab Rep.,2017,1,2017-01,2675,-0
Germany,Tajikistan,2017,1,2017-01,160,-0
Germany,The former Yugoslav Rep. of Macedonia,2017,1,2017-01,192,-0
Germany,Togo,2017,1,2017-01,40,-0
Germany,Tunisia,2017,1,2017-01,29,-0
Germany,Turkey,2017,1,2017-01,580,-0
Germany,Turkmenistan,2017,1,2017-01,25,-0
Germany,Uganda,2017,1,2017-01,6,-0
Germany,Ukraine,2017,1,2017-01,66,-0
Germany,Uzbekistan,2017,1,2017-01,6,-0
Germany,Various/unknown,2017,1,2017-01,331,-0
Germany,Venezuela (Bolivarian Republic of),2017,1,2017-01,8,-0
Germany,Viet Nam,2017,1,2017-01,35,-0
Germany,Yemen,2017,1,2017-01,17,-0
Germany,Zimbabwe,2017,1,2017-01,36,-0
Germany,Afghanistan,2018,1,2018-01,728,-0
Germany,Albania,2018,1,2018-01,167,-0
Germany,Algeria,2018,1,2018-01,171,-0
Germany,Angola,2018,1,2018-01,8,-0
Germany,Armenia,2018,1,2018-01,242,-0
Germany,Azerbaijan,2018,1,2018-01,202,-0
Germany,Bangladesh,2018,1,2018-01,15,-0
Germany,Belarus,2018,1,2018-01,27,-0
Germany,Benin,2018,1,2018-01,19,-0
Germany,Bosnia and Herzegovina,2018,1,2018-01,56,-0
Germany,Burkina Faso,2018,1,2018-01,19,-0
Germany,Cameroon,2018,1,2018-01,70,-0
Germany,Chad,2018,1,2018-01,10,-0
Germany,China,2018,1,2018-01,27,-0
Germany,Colombia,2018,1,2018-01,5,-0
Germany,Cuba,2018,1,2018-01,11,-0
Germany,Côte d'Ivoire,2018,1,2018-01,59,-0
Germany,Dem. Rep. of the Congo,2018,1,2018-01,36,-0
Germany,Egypt,2018,1,2018-01,59,-0
Germany,Eritrea,2018,1,2018-01,423,-0
Germany,Ethiopia,2018,1,2018-01,57,-0
Germany,Gambia,2018,1,2018-01,205,-0
Germany,Georgia,2018,1,2018-01,696,-0
Germany,Ghana,2018,1,2018-01,87,-0
Germany,Guinea,2018,1,2018-01,198,-0
Germany,Guinea-Bissau,2018,1,2018-01,16,-0
Germany,India,2018,1,2018-01,79,-0
Germany,Iran (Islamic Rep. of),2018,1,2018-01,823,-0
Germany,Iraq,2018,1,2018-01,1198,-0
Germany,Jamaica,2018,1,2018-01,10,-0
Germany,Jordan,2018,1,2018-01,20,-0
Germany,Kenya,2018,1,2018-01,15,-0
Germany,Kyrgyzstan,2018,1,2018-01,6,-0
Germany,Lebanon,2018,1,2018-01,51,-0
Germany,Liberia,2018,1,2018-01,20,-0
Germany,Libya,2018,1,2018-01,163,-0
Germany,Mali,2018,1,2018-01,31,-0
Germany,Mongolia,2018,1,2018-01,10,-0
Germany,Montenegro,2018,1,2018-01,35,-0
Germany,Morocco,2018,1,2018-01,130,-0
Germany,Myanmar,2018,1,2018-01,9,-0
Germany,Niger,2018,1,2018-01,7,-0
Germany,Nigeria,2018,1,2018-01,884,-0
Germany,Pakistan,2018,1,2018-01,248,-0
Germany,Rep. of Moldova,2018,1,2018-01,111,-0
Germany,Russian Federation,2018,1,2018-01,344,-0
Germany,Senegal,2018,1,2018-01,27,-0
Germany,Serbia and Kosovo: S/RES/1244 (1999),2018,1,2018-01,202,-0
Germany,Sierra Leone,2018,1,2018-01,42,-0
Germany,Somalia,2018,1,2018-01,471,-0
Germany,South Africa,2018,1,2018-01,8,-0
Germany,Sri Lanka,2018,1,2018-01,39,-0
Germany,Stateless,2018,1,2018-01,76,-0
Germany,Sudan,2018,1,2018-01,90,-0
Germany,Syrian Arab Rep.,2018,1,2018-01,2450,-0
Germany,Tajikistan,2018,1,2018-01,76,-0
Germany,The former Yugoslav Rep. of Macedonia,2018,1,2018-01,176,-0
Germany,Togo,2018,1,2018-01,45,-0
Germany,Tunisia,2018,1,2018-01,46,-0
Germany,Turkey,2018,1,2018-01,737,-0
Germany,Uganda,2018,1,2018-01,6,-0
Germany,Ukraine,2018,1,2018-01,72,-0
Germany,Various/unknown,2018,1,2018-01,303,-0
Germany,Venezuela (Bolivarian Republic of),2018,1,2018-01,30,-0
Germany,Viet Nam,2018,1,2018-01,63,-0
Germany,Yemen,2018,1,2018-01,87,-0
Germany,Zimbabwe,2018,1,2018-01,8,-0
Germany,Afghanistan,2013,2,2013-02,499,-0
Germany,Albania,2013,2,2013-02,38,-0
Germany,Algeria,2013,2,2013-02,56,-0
Germany,Angola,2013,2,2013-02,19,-0
Germany,Armenia,2013,2,2013-02,58,-0
Germany,Azerbaijan,2013,2,2013-02,69,-0
Germany,Bahrain,2013,2,2013-02,2,-0
Germany,Bangladesh,2013,2,2013-02,45,-0
Germany,Belarus,2013,2,2013-02,13,-0
Germany,Benin,2013,2,2013-02,11,-0
Germany,Bosnia and Herzegovina,2013,2,2013-02,123,-0
Germany,Bulgaria,2013,2,2013-02,33,-0
Germany,Burkina Faso,2013,2,2013-02,9,-0
Germany,Burundi,2013,2,2013-02,1,-0
Germany,Cambodia,2013,2,2013-02,1,-0
Germany,Cameroon,2013,2,2013-02,22,-0
Germany,Chad,2013,2,2013-02,29,-0
Germany,China,2013,2,2013-02,24,-0
Germany,Colombia,2013,2,2013-02,1,-0
Germany,Congo,2013,2,2013-02,5,-0
Germany,Croatia,2013,2,2013-02,4,-0
Germany,Cuba,2013,2,2013-02,2,-0
Germany,Côte d'Ivoire,2013,2,2013-02,5,-0
Germany,Dem. Rep. of the Congo,2013,2,2013-02,25,-0
Germany,Egypt,2013,2,2013-02,39,-0
Germany,Eritrea,2013,2,2013-02,64,-0
Germany,Ethiopia,2013,2,2013-02,46,-0
Germany,Gambia,2013,2,2013-02,35,-0
Germany,Georgia,2013,2,2013-02,158,-0
Germany,Ghana,2013,2,2013-02,42,-0
Germany,Guatemala,2013,2,2013-02,1,-0
Germany,Guinea,2013,2,2013-02,65,-0
Germany,Guinea-Bissau,2013,2,2013-02,17,-0
Germany,Haiti,2013,2,2013-02,12,-0
Germany,India,2013,2,2013-02,95,-0
Germany,Iran (Islamic Rep. of),2013,2,2013-02,308,-0
Germany,Iraq,2013,2,2013-02,333,-0
Germany,Israel,2013,2,2013-02,1,-0
Germany,Italy,2013,2,2013-02,2,-0
Germany,Jordan,2013,2,2013-02,3,-0
Germany,Kazakhstan,2013,2,2013-02,25,-0
Germany,Kenya,2013,2,2013-02,11,-0
Germany,Kyrgyzstan,2013,2,2013-02,7,-0
Germany,Latvia,2013,2,2013-02,1,-0
Germany,Lebanon,2013,2,2013-02,30,-0
Germany,Liberia,2013,2,2013-02,1,-0
Germany,Libya,2013,2,2013-02,22,-0
Germany,Mali,2013,2,2013-02,87,-0
Germany,Mauritania,2013,2,2013-02,1,-0
Germany,Mongolia,2013,2,2013-02,3,-0
Germany,Montenegro,2013,2,2013-02,17,-0
Germany,Morocco,2013,2,2013-02,69,-0
Germany,Myanmar,2013,2,2013-02,2,-0
Germany,Nepal,2013,2,2013-02,1,-0
Germany,Nicaragua,2013,2,2013-02,1,-0
Germany,Niger,2013,2,2013-02,5,-0
Germany,Nigeria,2013,2,2013-02,108,-0
Germany,Oman,2013,2,2013-02,1,-0
Germany,Pakistan,2013,2,2013-02,216,-0
