"","name","label","concept","predicateType","group","limit","required"
"45","Payroll","Total Quarterly Payroll: Sum","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"46","HirA","Hires All: Counts (Accessions)","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"47","FrmJbCS","Job Change (Stable): Net Change","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"48","EmpTotal","Employment-Reference Quarter: Counts","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"49","HirAEndRepl","Replacement Hires","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"50","EarnHirNS","Hires New (Stable): Average Monthly Earnings","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"51","firmsize","Group: Firm Size group","QWI Categorical Variable","string","N/A","6","default displayed"
"52","ind_level","Group: Industry level of aggregation","QWI Categorical Variable","string","N/A","0",NA
"53","TurnOvrS","Turnover (Stable)","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"54","sSep","Flag for Separations: Counts","QWI Status Flag","int","N/A","0",NA
"55","HirN","Hires New: Counts","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"56","firmage","Group: Firm Age group","QWI Categorical Variable","string","N/A","6","default displayed"
"57","sEmp","Flag for Beginning-of-Quarter Employment: Counts","QWI Status Flag","int","N/A","0",NA
"58","EarnBeg","End-of-Quarter Employment: Average Monthly Earnings","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"59","sHirAEndReplr","Flag for Replacement Hiring Rate","QWI Status Flag","int","N/A","0",NA
"60","EmpEnd","End-of-Quarter Employment: Counts","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"61","race","Group: race","QWI Categorical Variable","string","N/A","8","default displayed"
"62","SepBegR","Beginning-of-Quarter Separation Rate","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"63","sHirAEndR","Flag for End-of-Quarter Hiring Rate","QWI Status Flag","int","N/A","0",NA
"64","EarnSepS","Separations (Stable): Average Monthly Earnings","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"65","sHirNs","Flag for Hires New (Stable): Counts (New Hires to Full-Quarter Status)","QWI Status Flag","int","N/A","0",NA
"66","geo_level","Group: Geographic level of aggregation","QWI Categorical Variable","string","N/A","0",NA
"67","sex","Group: Gender code","QWI Categorical Variable","string","N/A","3","default displayed"
"68","agegrp","Group: Age group code (WIA)","QWI Categorical Variable","string","N/A","9","default displayed"
"69","HirAEndR","End-of-Quarter Hiring Rate","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"70","sFrmJbLs","Flag for Firm Job Loss: Counts (Job Destruction)","QWI Status Flag","int","N/A","0",NA
"71","sEmpS","Flag for Full-Quarter Employment (Stable): Counts","QWI Status Flag","int","N/A","0",NA
"72","sTurnOvrS","Flag for Turnover (Stable)","QWI Status Flag","int","N/A","0",NA
"73","sFrmJbGnS","Flag for Firm Job Gains (Stable): Counts","QWI Status Flag","int","N/A","0",NA
"74","SepS","Separations (Stable): Counts (Flow out of Full-Quarter Employment)","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"75","periodicity","Periodicity of report","QWI Categorical Variable","string","N/A","2","default displayed"
"76","sEmpSpv","Flag for Full-Quarter Employment in the Previous Quarter: Counts","QWI Status Flag","int","N/A","0",NA
"77","sEarnHirAS","Flag for Hires All (Stable): Average Monthly Earnings","QWI Status Flag","int","N/A","0",NA
"78","FrmJbGn","Firm Job Gains: Counts (Job Creation)","Quarterly Workforce Indicators (QWI)","int","N/A","0",NA
"79","quarter","Time: Quarter","QWI Categorical Variable","int","N/A","4","true"
"80","sEarnS","Flag for Full Quarter Employment (Stable): Average Monthly Earnings","QWI Status Flag","int","N/A","0",NA
